qid,n_tables,oracle_cost,pt_regret_lin,is_trivial_oracle,t3_idx_0.01,t3_regret_0.01,t3_q_0.01,t3_idx_0.05,t3_regret_0.05,t3_q_0.05,t3_idx_0.1,t3_regret_0.1,t3_q_0.1,t3_idx_0.2,t3_regret_0.2,t3_q_0.2
2158,4,337159.0,1.0,1,4,1.0,2.805270195007324,4,1.0,0.5120906829833984,4,1.0,0.10433387756347656,4,1.0,0.14715290069580078
2159,4,10910589.0,1.0,1,5,1.0,2.805270195007324,5,1.0,0.5120906829833984,5,1.0,0.10433387756347656,5,1.0,0.14715290069580078
2160,5,22429.0,1.0030762371823452,0,2,1.0030762371823452,2.805270195007324,2,1.0030762371823452,0.5120906829833984,2,1.0030762371823452,0.10433387756347656,2,1.0030762371823452,0.14715290069580078
2161,4,0.0,26.0,0,4,26.0,2.805270195007324,4,26.0,0.5120906829833984,4,26.0,0.10433387756347656,4,26.0,0.14715290069580078
2162,2,982278.0,1.6945867721899786,0,0,1.0,2.805270195007324,0,1.0,0.5120906829833984,0,1.0,0.10433387756347656,0,1.0,0.14715290069580078
2163,3,5118125.0,1.0,1,2,1.0078223943685638,2.805270195007324,2,1.0078223943685638,0.5120906829833984,2,1.0078223943685638,0.10433387756347656,2,1.0078223943685638,0.14715290069580078
2164,5,10338992.0,1.0,1,2,1.0,2.805270195007324,2,1.0,0.5120906829833984,2,1.0,0.10433387756347656,2,1.0,0.14715290069580078
2165,5,67775590.0,1.0,1,3,1.0,2.805270195007324,3,1.0,0.5120906829833984,3,1.0,0.10433387756347656,3,1.0,0.14715290069580078
2166,4,5880851932.0,1.0,1,7,1.0,2.805270195007324,7,1.0,0.5120906829833984,7,1.0,0.10433387756347656,7,1.0,0.14715290069580078
2167,4,644234.0,1.0,1,0,1.0,2.805270195007324,0,1.0,0.5120906829833984,0,1.0,0.10433387756347656,0,1.0,0.14715290069580078
2168,5,45010.0,1.0,1,6,1.0,2.805270195007324,6,1.0,0.5120906829833984,6,1.0,0.10433387756347656,1,1.6844771278132011,0.14715290069580078
2169,5,20613975.0,1.0252182305829793,0,7,1.0,2.805270195007324,7,1.0,0.5120906829833984,7,1.0,0.10433387756347656,7,1.0,0.14715290069580078
2170,5,621716.0,1.0,1,3,1.0,2.805270195007324,3,1.0,0.5120906829833984,3,1.0,0.10433387756347656,3,1.0,0.14715290069580078
2171,5,1281696.0,1.0791552137517681,0,7,1.0,2.805270195007324,7,1.0,0.5120906829833984,7,1.0,0.10433387756347656,7,1.0,0.14715290069580078
2172,3,3735059.0,1.0,1,3,1.0,2.805270195007324,3,1.0,0.5120906829833984,3,1.0,0.10433387756347656,3,1.0,0.14715290069580078
2173,4,426264067.0,1.0,1,1,1.0,2.805270195007324,1,1.0,0.5120906829833984,1,1.0,0.10433387756347656,1,1.0,0.14715290069580078
2174,3,2522770.0,1.0,1,2,1.0,2.805270195007324,2,1.0,0.5120906829833984,2,1.0,0.10433387756347656,2,1.0,0.14715290069580078
